Scope;Source;Source Type;Title;Topic;Authors;Year;Keywords;Link;Key Findings
Ankara;Environmental Geology;Journal Article;"Engineering characteristics and
environmental impacts of the
expansive Ankara Clay, and swelling
maps for SW and central parts
of the Ankara (Turkey) metropolitan
area";Swelling behavior of Ankara Clay and building damage;Zeynal Abiddin Erguler, Reşat Ulusay;2003;"Ankara Clay, Low-rise buildings, 
Predictive equations, Structural damage, Swelling, Swelling map";https://link.springer.com/article/10.1007/s00254-003-0841-y;Geological map showing the distribution of the soil and rock units in Ankara city
Ankara;Journal of Environmental Management ;Journal Article;Multivariate Statistics to Investigate Metal Contamination in Surface Soil;Heavy Metal Deposition in Soil in Ankara;Ozan D. Yaya, Omar Alaghab,Gürdal Tuncel;2008;"Urban soil pollution; Metal deposition; Atmospheric aerosols; Factor analysis";https://www.researchgate.net/publication/6491830_Multivariate_Statistics_to_Investigate_Metal_Contamination_in_Surface_Soil;Maps of heavy metal concentration in soil in Ankara
Ankara;Environmental Monitoring and Assessment;Journal Article;Analysis of urban effects on soil temperature in Ankara;Soil Temperature Change due to Urbanization;Necla Türkoğlu;2009;"Soil temperature, Urban effect,
Ankara, Heat transfer, Sen’s slope and
Mann–Kendall tests";https://link.springer.com/article/10.1007/s10661-009-1187-z;"Soil temperature between 1960
and 2005 to investigate the effects
 of the urbanization on the soil temperature in
 Ankara"
Ankara;Transforming Socio-Natures in Turkey Landscapes, State and Environmental Movements;Book Chapter;"Informalization of waste
 regimes: 
The entanglement of urbanization,
poverty and waste in Ankara";Socio-historical and Political Changes in Waste Management in Ankara;Gül Tuçaltan;2020;;;Ankara waste map
Ankara;2023 Başkent Ankara Nazım İmar Planı ;Municipality Document;Ankara'nın Doğal Yapısı;Ankara's Jeological Properties;Ankara Belediyesi;2023;;https://s.ankara.bel.tr/files/9313/4726/7119/4-dogal-yapi.pdf;Ankara'nın Jeolojik Yapısı Harita (s.109)
Ankara;Ankara Masası;Website;Ankara'daki hayalet binalar neden yıllarca boş kalıyor?;-;Zeliha Demirci Aktaş;2026;;https://www.ankaramasasi.com.tr/haber/2209516/ankara-daki-hayalet-binalar-neden-yillarca-bos-kaliyor;
Site - Grand Çankaya Hotel;Solfasol;Website;Ankara’nın En Büyük Gecekondusu: Çankaya Oteli...;-;Mehmet Onur Yılmaz;2012;;https://www.solfasol.tv/ankara-nin-en-buyuk-gecekondusu-cankaya-oteli;
Site - Grand Çankaya Hotel;Milliyet;Website;Ankara'da bir şehir efsanesi çöktü;-;Şenay Güner;2014;;https://www.milliyet.com.tr/siyaset/ankarada-bir-sehir-efsanesi-coktu-1892624;
Site - Grand Çankaya Hotel;Hürriyet;Website;Büyük Çankaya Oteli bir kez daha icradan satılıyor!;-;Deniz Çağıl;2018;;https://www.hurriyet.com.tr/ekonomi/buyuk-cankaya-oteli-bir-kez-daha-icradan-satiliyor-40926132;
Site - Grand Çankaya Hotel;İlksayfa;Website;"""Büyük Çankaya Oteli""nin akıbeti merak ediliyor";-;Osman Akdoğan;2022;;https://www.gazeteilksayfa.com/buyuk-cankaya-otelinin-akibeti-merak-ediliyor-139096h.htm;
Site - Grand Çankaya Hotel;Kısa Dalga;Website;Bitmeyen İnşaat: Çankaya Oteli;-;Tezcan Karakuş Candan;2024;;https://kisadalga.net/yazar/bitmeyen-insaat-cankaya-oteli_99277;
C&D Waste and Brownfields;Waste Management - An Integrated Vision;Book Chapter;Construction and Demolition Waste Management in Turkey;"Reducing, recycling, and reusing CDW; regulations in Turkey";Nilay Cosgun, Burcu Salgın;2012;;https://www.researchgate.net/publication/275888403_Construction_and_Demolition_Waste_Management_in_Turkey;Demolition waste recycle facilities
C&D Waste and Brownfields;Frontiers in Ecology and Evolution;Journal Article;Enhancing multiple benefits of brownfield cleanups by applying ecosystem services concepts;Brownfield Revitalization;"
Brooke Mastervich,
Kelly Garbach,
Matthew C. Harwell";2024;"Brownfields, nature-based solutions, ecosystem services, environmental policy, environmental benefits

";https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2024.1286150/full;Brownfields revitalization can provide critical opportunities and, particularly, nature-based solutions can enhance multiple ecological, human health, and economic benefits
C&D Waste and Brownfields;Toxics;Journal Article;The Effects of Construction and Demolition Waste (C&DW) Fine Residues on Landfill Environments: A Column Leaching Experiment;The leaching behavior of C&DW fine residues, focusing on the release of heavy metals under varying proportions of gypsum and organic content;Adane S Molla, Waiching Tang, Willy Sher, Md Mezbaul Bahar, Dawit Nega Bekele;2025;C&DW fine residues, heavy metal mobilization, gypsum-induced leaching, landfill ecotoxicity, sulfate-metal complexation, emerging contaminant, toxic leachate dynamics;https://pmc.ncbi.nlm.nih.gov/articles/PMC12116021/;The reuse of non-hazardous C&DW fractions
C&D Waste and Brownfields;Sustainable Materials Management;Governmental Website;Sustainable Management of Construction and Demolition Materials;Deconstruction for Reuse;USA Environmental Protection Agency;2026;;https://www.epa.gov/smm/sustainable-management-construction-and-demolition-materials;De-papered and crushed gypsum can be used, in moderate quantities, as a soil amendment
C&D Waste and Brownfields;International Journal of Environmental Research and Public Health;Journal Article;The Effects of Waste Cement on the Bioavailability, Mobility, and Leaching of Cadmium in Soil;Waste cement for cadmium remediation;Xiuming Ding, Junfeng Wang, Qing Huang, Shan Hu, Yuejun Wu, Luya Wang;2021;"Waste cement; cadmium; adsorption; immobilization; bioavailability; leaching";https://pmc.ncbi.nlm.nih.gov/articles/PMC8393406/;
C&D Waste and Brownfields;NPJ Biofilms Microbiomes;Journal Article;Responses of soil microbiome to steel corrosion;Microbiologically influenced corrosion of metals in soil;Huang Y, Xu D, Huang LY, Lou YT, Muhadesi JB, Qian HC, Zhou EZ, Wang BJ, Li XT, Jiang Z, Liu SJ, Zhang DW, Jiang CY;2021;Microbiome, Microbial ecology, Soil microbiology;https://pmc.ncbi.nlm.nih.gov/articles/PMC7820017/;
C&D Waste and Brownfields;Architecture, Civil Engineering, Environment ;Journal Article;Biodeterioration of Concrete;Microbial biodeterioration of concrete structures;Beata Cwalina;2008;"Concrete; Biodeterioration; Microorganisms; Metabolic activity; Biogenic substances";https://www.researchgate.net/publication/292574838_Biodeterioration_of_concrete;
C&D Waste and Brownfields;Catena;Journal Article;Urban forest soil is becoming alkaline under rapid urbanization: A case study of Changchun, northeast China;Urbanization effects on urban forest soil pH and alkalization;"Peng Zhang,  Yulin Dong, Yujie Guo, 
Chengcong Wang, Guodong Wang,  Zijun Ma, Wei Zhou, Dan Zhang, Zhibin Ren, Wenjie Wang";2023;Urban forest, Urbanization, Soil physical–chemical properties, Soil alkalization, Structure Equation Model;https://www.sciencedirect.com/science/article/pii/S034181622300084X;
C&D Waste and Brownfields;STAR: Science & Technology of Archaeological Research;Journal Article;Soil vs. glass: an integrated approach towards the characterization of soil as a burial environment for the glassware of Cucagna Castle (Friuli, Italy);Glass corrosion and composition in soil;Karl Tobias Friedrich, Patrick Degryse;2019;"Soil burial environment; grain-size distribution; medieval glass; Cucagna; archaeological glass preservation";https://www.tandfonline.com/doi/full/10.1080/20548923.2019.1688492#abstract;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
